doc_id,doc_number,source,source_kind,title,date,date_display,place,summit_phase,session,principals,venue,persons,topics,verified,url,case_number,doctype,classification
frus1981-88v05-d267,267,FRUS 1981-1988 v05,historical-document,Telegram From the Embassy in the Soviet Union to the Department of State,1986-08-30,"August 30, 1986, 1719Z",Moscow,pre-summit,,,,Nicholas Daniloff; Combs; Parris; Jack F. Matlock Jr.; John M. Poindexter; Mikhail S. Gorbachev; Aleksandr A. Bessmertnykh,Human Rights; Bilateral Relations,True,https://history.state.gov/historicaldocuments/frus1981-88v05/d267,,,
frus1981-88v05-d268,268,FRUS 1981-1988 v05,historical-document,Telegram From the Department of State to Secretary of State Shultz,1986-08-31,"August 31, 1986, 0112Z",Washington,pre-summit,,,,George P. Shultz; Parris; Coffey; Pascoe; Simons; Nick Daniloff; Mikol’chak; Mike Armacost; Sokolov; Aleksandr A. Bessmertnykh; Dobrynin; Dubinin; Abe Sofaer; Whitehead,Human Rights,True,https://history.state.gov/historicaldocuments/frus1981-88v05/d268,,,
frus1981-88v05-d269,269,FRUS 1981-1988 v05,historical-document,Report Prepared in the Central Intelligence Agency,1986-08-31,"August 31, 1986",Washington,pre-summit,,,,,,True,https://history.state.gov/historicaldocuments/frus1981-88v05/d269,,,
frus1981-88v05-d270,270,FRUS 1981-1988 v05,historical-document,Telegram From the Department of State to Secretary of State Shultz,1986-09-03,"September 3, 1986, 0232Z",Washington,pre-summit,,,,George P. Shultz; Parris; Sofaer; S. Coffey; Pascoe; Armacost; Ronald Reagan; Daniloff; Rozanne L. Ridgway; Peter Rodman; Dubinin; Whitehead,Human Rights,True,https://history.state.gov/historicaldocuments/frus1981-88v05/d270,,,
frus1981-88v05-d271,271,FRUS 1981-1988 v05,historical-document,Letter From President Reagan to Soviet General Secretary Gorbachev,1986-09-04,"September 4, 1986",Washington,pre-summit,,,,Ronald Reagan; Mikhail S. Gorbachev; Jack F. Matlock Jr.; John M. Poindexter; Rod McDaniel; Daniloff; Aleksandr A. Bessmertnykh,Human Rights,True,https://history.state.gov/historicaldocuments/frus1981-88v05/d271,,,
frus1981-88v05-d272,272,FRUS 1981-1988 v05,historical-document,Note From the Deputy Executive Secretary of the Department of State (Pascoe) to the Under Secretary of State for Political Affairs (Armacost),1986-09-05,undated,Washington,pre-summit,,,,Pascoe; Armacost; Daniloff; Jack F. Matlock Jr.; Korniyenko; John M. Poindexter; Platt; Ronald Reagan; Mikhail S. Gorbachev; Dubinin; Orlov,Human Rights; Regional Issues; Bilateral Relations,True,https://history.state.gov/historicaldocuments/frus1981-88v05/d272,,,
frus1981-88v05-d273,273,FRUS 1981-1988 v05,historical-document,Memorandum From Secretary of State Shultz to President Reagan,1986-09-06,"September 6, 1986",Washington,pre-summit,,,,George P. Shultz; Ronald Reagan; Mikhail S. Gorbachev; Daniloff; Dubinin; Parris; Aleksandr A. Bessmertnykh; Mike Armacost; Combs; Don Regan,Human Rights,True,https://history.state.gov/historicaldocuments/frus1981-88v05/d273,,,
frus1981-88v05-d274,274,FRUS 1981-1988 v05,historical-document,Memorandum From the President’s Assistant for National Security Affairs (Poindexter) to President Reagan,1986-09-08,"September 8, 1986",Washington,pre-summit,,,,John M. Poindexter; Ronald Reagan; Stephen Sestanovich; Daniloff; Regan; George P. Shultz; Meese; Sakharov; Sofaer; Armacost; Mikhail S. Gorbachev; Eduard A. Shevardnadze,INF; Human Rights; Bilateral Relations,True,https://history.state.gov/historicaldocuments/frus1981-88v05/d274,,,
frus1981-88v05-d275,275,FRUS 1981-1988 v05,historical-document,Memorandum From the President’s Assistant for National Security Affairs (Poindexter) to President Reagan,1986-09-09,"September 9, 1986",Washington,pre-summit,,,,John M. Poindexter; Ronald Reagan; Tyrus Cobb; Linhard; Paul H. Nitze; Max Kampelman; Ed Rowny; Richard Perle; Ron Lehman; Mike Glitman; Victor Karpov; Dubinin; George P. Shultz; Daniloff; Mikhail S. Gorbachev,SDI; INF; Strategic Arms; Human Rights,True,https://history.state.gov/historicaldocuments/frus1981-88v05/d275,,,
frus1981-88v05-d276,276,FRUS 1981-1988 v05,historical-document,Telegram From the Department of State to the Embassy in the Soviet Union,1986-09-10,"September 10, 1986, 2322Z",Washington,pre-summit,,,,Jack F. Matlock Jr.; Daniloff; Parris; Simons; Ridgway; Pascoe; George P. Shultz; Dubinin; Armacost; Sokolov; Aleksandr A. Bessmertnykh; Combs,Human Rights,True,https://history.state.gov/historicaldocuments/frus1981-88v05/d276,,,
frus1981-88v05-d277,277,FRUS 1981-1988 v05,historical-document,Memorandum From Stephen Sestanovich of the National Security Council Staff to the President’s Assistant for National Security Affairs (Poindexter),1986-09-12,"September 12, 1986",Washington,pre-summit,,,,Stephen Sestanovich; John M. Poindexter; Daniloff; Cockell; Jack F. Matlock Jr.; Ronald Reagan; George P. Shultz; Mikhail S. Gorbachev; Solomon; Carter; Eduard A. Shevardnadze; Peter Rodman,Strategic Arms; Human Rights,True,https://history.state.gov/historicaldocuments/frus1981-88v05/d277,,,
frus1981-88v05-d278,278,FRUS 1981-1988 v05,historical-document,Special National Intelligence Estimate,1986-09-12,"September 12, 1986",Washington,pre-summit,,,,Henry F. Cooper; Max Kampelman; Ronald Reagan; John M. Poindexter; Mikhail S. Gorbachev,SDI; INF; Strategic Arms; Nuclear Testing; Bilateral Relations,True,https://history.state.gov/historicaldocuments/frus1981-88v05/d278,,,
frus1981-88v05-d279,279,FRUS 1981-1988 v05,historical-document,Memorandum From Secretary of State Shultz to President Reagan,1986-09-15,undated,Washington,pre-summit,,,,George P. Shultz; Ronald Reagan; Daniloff; Simons; Ridgway; Parris; Sokolov; Mikhail S. Gorbachev,Human Rights,True,https://history.state.gov/historicaldocuments/frus1981-88v05/d279,,,
frus1981-88v05-d280,280,FRUS 1981-1988 v05,historical-document,Letter From Soviet General Secretary Gorbachev to President Reagan,1986-09-15,"September 15, 1986",Moscow,pre-summit,,,,Mikhail S. Gorbachev; Ronald Reagan; Eduard A. Shevardnadze; Gromyko; Ryzhkov; Ligachev; Daniloff,SDI; Strategic Arms; Nuclear Testing; Human Rights,True,https://history.state.gov/historicaldocuments/frus1981-88v05/d280,,,
frus1981-88v05-d281,281,FRUS 1981-1988 v05,historical-document,Memorandum From Tyrus Cobb and Robert Linhard of the National Security Council Staff to the President’s Assistant for National Security Affairs (Poindexter),1986-09-16,"September 16, 1986",Washington,pre-summit,,,,Tyrus Cobb; Robert Linhard; John M. Poindexter; Eduard A. Shevardnadze; Ronald Reagan; Daniloff; George P. Shultz; Weinberger; Mikhail S. Gorbachev; Rod McDaniel; Peter Rodman,Nuclear Testing; Human Rights; Regional Issues; Bilateral Relations,True,https://history.state.gov/historicaldocuments/frus1981-88v05/d281,,,
foia-C05256984,,foia.state.gov,declassified,OFFICIAL/INFORMAL: BRIEFING MATERIAL FOR AMBASSADOR-DESIGNATE RALINGS,1986-09-16,"September 16, 1986",,pre-summit,,,,,,True,https://foia.state.gov/DOCUMENTS/5-FY2014/F-2012-29009/DOC_0C05256984/C05256984.pdf,F-2012-29009,Telegram,Confidential
frus1981-88v05-d282,282,FRUS 1981-1988 v05,historical-document,Memorandum From the President’s Assistant for National Security Affairs (Poindexter) to President Reagan,1986-09-18,"September 18, 1986",Washington,pre-summit,,,,John M. Poindexter; Ronald Reagan; Tobey; Linhard; Mikhail S. Gorbachev; Weinberger,INF,True,https://history.state.gov/historicaldocuments/frus1981-88v05/d282,,,
frus1981-88v05-d283,283,FRUS 1981-1988 v05,historical-document,Memorandum of Conversation,1986-09-19,"September 19, 1986",Washington,pre-summit,,,,George P. Shultz; Daniloff; Eduard A. Shevardnadze; Ronald Reagan; Mikhail S. Gorbachev; P. Palazhchenko; Dobrynin; Sakharov; Orlov; Hartman; Yury Dubinin; Aleksandr A. Bessmertnykh,SDI; INF; Human Rights,True,https://history.state.gov/historicaldocuments/frus1981-88v05/d283,,,
frus1981-88v05-d284,284,FRUS 1981-1988 v05,historical-document,Memorandum of Conversation,1986-09-19,"September 19, 1986, 3–5:25 p.m.",Washington,pre-summit,,,,George P. Shultz; Pascoe; Eduard A. Shevardnadze; Paul H. Nitze; Ridgway; Hartman; Jack F. Matlock Jr.; Richard Perle; Tom Simons; Robert Linhard; Mark Parris; Aleksandr A. Bessmertnykh; Dubinin; Karpov; Sokolov; Mikol’chak; Palazhchenko; Lehman; Mikhail S. Gorbachev; Gromyko,SDI; INF; Strategic Arms; Nuclear Testing; Regional Issues; Bilateral Relations,True,https://history.state.gov/historicaldocuments/frus1981-88v05/d284,,,
frus1981-88v05-d285,285,FRUS 1981-1988 v05,historical-document,Memorandum of Conversation,1986-09-20,"September 20, 1986, 10–11 a.m.",Washington,pre-summit,,,,George P. Shultz; Eduard A. Shevardnadze; Daniloff; Hill; P. Palazhchenko; Mikhail S. Gorbachev; Sakharov,Human Rights,True,https://history.state.gov/historicaldocuments/frus1981-88v05/d285,,,
frus1981-88v05-d286,286,FRUS 1981-1988 v05,historical-document,Memorandum of Conversation,1986-09-20,"September 20, 1986, 11:05 a.m.–12:25 p.m.",Washington,pre-summit,,,,George P. Shultz; Pascoe; Eduard A. Shevardnadze; Paul H. Nitze; Ridgway; Hartman; Jack F. Matlock Jr.; Richard Perle; Tom Simons; Robert Linhard; Mark Parris; Aleksandr A. Bessmertnykh; Dubinin; Karpov; Mikol’chak; Palazhchenko; Mikhail S. Gorbachev; Gromyko,SDI; INF; Strategic Arms; Nuclear Testing,True,https://history.state.gov/historicaldocuments/frus1981-88v05/d286,,,
frus1981-88v05-d287,287,FRUS 1981-1988 v05,historical-document,Memorandum of Conversation,1986-09-20,"September 20, 1986, 3:30–5:35 p.m.",Washington,pre-summit,,,,George P. Shultz; Pascoe; Eduard A. Shevardnadze; Whitehead; Armacost; Paul H. Nitze; Ridgway; Hartman; Jack F. Matlock Jr.; John M. Poindexter; Richard Perle; Tom Simons; Mark Parris; Richard Solomon; Aleksandr A. Bessmertnykh; Dubinin; Karpov; Sokolov; Mikol’chak; Palazhchenko; Gromyko; Peres; Mikhail S. Gorbachev; Daniloff; Casey; Geoffrey Howe; Craxi; Kohl; Chirac; Ronald Reagan,INF; Strategic Arms; Nuclear Testing; Human Rights; Regional Issues; Bilateral Relations,True,https://history.state.gov/historicaldocuments/frus1981-88v05/d287,,,
frus1981-88v05-d288,288,FRUS 1981-1988 v05,historical-document,Memorandum of Conversation,1986-09-23,"September 23, 1986, 10:30–11:15 a.m.",New York,pre-summit,,,,George P. Shultz; Eduard A. Shevardnadze; Daniloff; Mikhail S. Gorbachev; Yuri Orlov; Ridgway; Aleksandr A. Bessmertnykh; P. Palazhchenko; Ronald Reagan,Human Rights,True,https://history.state.gov/historicaldocuments/frus1981-88v05/d288,,,
frus1981-88v05-d289,289,FRUS 1981-1988 v05,historical-document,Memorandum of Conversation,1986-09-23,"September 23, 1986, 7:30–9 p.m.",New York,pre-summit,,,,George P. Shultz; Eduard A. Shevardnadze; Ronald Reagan; Daniloff; Orlov; Ridgway; Aleksandr A. Bessmertnykh; Dubinin; P. Palazhchenko; Mikhail S. Gorbachev; Hartman,Human Rights,True,https://history.state.gov/historicaldocuments/frus1981-88v05/d289,,,
frus1981-88v05-d290,290,FRUS 1981-1988 v05,historical-document,Notes of a Meeting,1986-09-26,"September 26, 1986",Washington,pre-summit,,,,Daniloff; Hill; George P. Shultz; Ronald Reagan; Regan; John M. Poindexter; Bill Casey; Eduard A. Shevardnadze; Weinberger; Orlov,Human Rights,True,https://history.state.gov/historicaldocuments/frus1981-88v05/d290,,,
frus1981-88v05-d291,291,FRUS 1981-1988 v05,historical-document,Memorandum of Conversation,1986-09-26,"September 26, 1986, 7–8:50 p.m.",New York,pre-summit,,,,George P. Shultz; Eduard A. Shevardnadze; Ridgway; Aleksandr A. Bessmertnykh; Dubinin; P. Palazhchenko; Daniloff; Orlov; Reagan; Nixon,Human Rights,True,https://history.state.gov/historicaldocuments/frus1981-88v05/d291,,,
frus1981-88v05-d292,292,FRUS 1981-1988 v05,historical-document,Memorandum of Conversation,1986-09-28,"September 28, 1986, 8:30–11:20 p.m.",New York,pre-summit,,,,George P. Shultz; Eduard A. Shevardnadze; Daniloff; Yuri Orlov; Ronald Reagan; Mikhail S. Gorbachev; Ridgway; Aleksandr A. Bessmertnykh; Dubinin; P. Palazhchenko; Kalb,SDI; INF; Human Rights; Regional Issues; Bilateral Relations,True,https://history.state.gov/historicaldocuments/frus1981-88v05/d292,,,
frus1981-88v05-d293,293,FRUS 1981-1988 v05,historical-document,Memorandum From Secretary of State Shultz to President Reagan,1986-10-02,"October 2, 1986",New York,pre-summit,,,,George P. Shultz; Ronald Reagan; Mikhail S. Gorbachev; Paul H. Nitze; Eduard A. Shevardnadze; Hill,INF; Strategic Arms; Nuclear Testing; Human Rights,True,https://history.state.gov/historicaldocuments/frus1981-88v05/d293,,,
frus1981-88v05-d294,294,FRUS 1981-1988 v05,historical-document,Memorandum From the President’s Assistant for National Security Affairs (Poindexter) to President Reagan,1986-10-03,"October 3, 1986",Washington,pre-summit,,,,John M. Poindexter; Ronald Reagan; Jack F. Matlock Jr.; Bush; Regan; Mikhail S. Gorbachev; Eduard A. Shevardnadze,,True,https://history.state.gov/historicaldocuments/frus1981-88v05/d294,,,
frus1981-88v05-d295,295,FRUS 1981-1988 v05,historical-document,Paper Prepared by Jack Matlock of the National Security Council Staff,1986-10-03,undated,Washington,pre-summit,,,,Jack F. Matlock Jr.; Alton Keel; Bush; Regan; Ronald Reagan; John M. Poindexter; Daniloff; Mikhail S. Gorbachev,Human Rights,True,https://history.state.gov/historicaldocuments/frus1981-88v05/d295,,,
foia-C09000001,,foia.state.gov,declassified,GROUP OF SIX COMMENT ON GORBACHEV-REAGAN MEETING IN ICELAND,1986-10-03,"October 03, 1986",,pre-summit,,,,Ronald Reagan; Mikhail S. Gorbachev,,True,https://foia.state.gov/DOCUMENTS/FOIA_CR_Mar2025/F-2009-06116/DOC_0C09000001/C09000001.pdf,F-2009-06116,Telegram,UNCLASS
frus1981-88v05-d296,296,FRUS 1981-1988 v05,historical-document,Paper Prepared by the Senior Arms Control Group and the Arms Control Support Group,1986-10-06,"October 6, 1986",Washington,pre-summit,,,,Sven Kraemer; John M. Poindexter; Brooks; Linhard; Mikhail S. Gorbachev; Eduard A. Shevardnadze; George P. Shultz; Kampelman; Rowny; Paul H. Nitze; Ronald Reagan,SDI; INF; Strategic Arms; Nuclear Testing; Bilateral Relations,True,https://history.state.gov/historicaldocuments/frus1981-88v05/d296,,,
foia-n/a,,foia.state.gov,declassified,LETTER RE RAOUL WALLENBERG CASE,1986-10-06,"October 06, 1986",,pre-summit,,,,Ronald Reagan,,True,https://foia.state.gov/DOCUMENTS\wallenberg\1e59.PDF,n/a,General correspondence,UNCLASS
foia-n/a,,foia.state.gov,declassified,RAOUL WALLEN CASE BE PLACED ON YOUR HUMAN RIGHTS AGENDA,1986-10-06,"October 06, 1986",,pre-summit,,,,Ronald Reagan,Human Rights,True,https://foia.state.gov/DOCUMENTS\wallenberg\22d7.PDF,n/a,General correspondence,UNCLASS
frus1981-88v05-d297,297,FRUS 1981-1988 v05,historical-document,Talking Points Prepared by the National Security Council Staff,1986-10-07,"October 7, 1986",Washington,pre-summit,,,,Sven Kraemer; John M. Poindexter; Brooks; Linhard; Mikhail S. Gorbachev; Gorbachev; Reagan; Ronald Reagan; Jack F. Matlock Jr.; George P. Shultz; Paul H. Nitze; ROWNY,SDI; INF; Strategic Arms; Nuclear Testing,True,https://history.state.gov/historicaldocuments/frus1981-88v05/d297,,,
frus1981-88v05-d298,298,FRUS 1981-1988 v05,historical-document,National Security Decision Directive 245,1986-10-07,"October 7, 1986",Washington,pre-summit,,,,Ronald Reagan; Mikhail S. Gorbachev,Human Rights; Bilateral Relations,True,https://history.state.gov/historicaldocuments/frus1981-88v05/d298,,,
frus1981-88v05-d299,299,FRUS 1981-1988 v05,historical-document,Letter From Secretary of Defense Weinberger to President Reagan,1986-10-09,"October 9, 1986",,pre-summit,,,,Weinberger; Ronald Reagan; Alton Keel; Mikhail S. Gorbachev; Eduard A. Shevardnadze,SDI; INF; Strategic Arms; Nuclear Testing; Human Rights; Regional Issues,True,https://history.state.gov/historicaldocuments/frus1981-88v05/d299,,,
frus1981-88v05-d301,301,FRUS 1981-1988 v05,historical-document,Memorandum of Conversation,1986-10-11,"October 11, 1986, 10:40 a.m.–12:30 p.m.",Reykjavik,summit,Session I - October 11 morning,Reagan-Gorbachev,Hofdi House,Jack F. Matlock Jr.; Eduard A. Shevardnadze; Ronald Reagan; George P. Shultz; Mikhail S. Gorbachev; N. Upsenskiy,SDI; INF; Strategic Arms; Nuclear Testing; Human Rights; Regional Issues; Bilateral Relations,True,https://history.state.gov/historicaldocuments/frus1981-88v05/d301,,,
frus1981-88v05-d302,302,FRUS 1981-1988 v05,historical-document,Memorandum of Conversation,1986-10-11,"October 11, 1986, 3:30–5:40 p.m.",Reykjavik,summit,Session II - October 11 afternoon,Reagan-Gorbachev,Hofdi House,Jack F. Matlock Jr.; Simons; Ronald Reagan; George P. Shultz; Mikhail S. Gorbachev; Eduard A. Shevardnadze; P. Palazhchenko; Paul H. Nitze; Richard Perle; Kampelman; Linhard; Rowny; Kenneth L. Adelman; Karpov; Sergei F. Akhromeyev; Yevgeny Velikhov; Ridgway; Rodman; Parris; Aleksandr A. Bessmertnykh,SDI; INF; Strategic Arms; Nuclear Testing; Human Rights; Bilateral Relations,True,https://history.state.gov/historicaldocuments/frus1981-88v05/d302,,,
frus1981-88v05-d303,303,FRUS 1981-1988 v05,historical-document,Draft Memorandum of Conversation,1986-10-11,"October 11–12, 1986, 8 p.m.–4 a.m.",Reykjavik,summit,Working Group - Night of October 11-12,US-Soviet arms control experts,Hofdi House (draft; disavowed by Ridgway),Rodman; Ridgway; Hartman; Jack F. Matlock Jr.; Simons; Parris; Aleksandr A. Bessmertnykh; Dubinin; Mikol’chak; Primakov; Mikhail S. Gorbachev; Ronald Reagan; Peres; Eduard A. Shevardnadze; George P. Shultz; Bernard Kalb,Human Rights; Regional Issues; Bilateral Relations,True,https://history.state.gov/historicaldocuments/frus1981-88v05/d303,,,
frus1981-88v05-d305,305,FRUS 1981-1988 v05,historical-document,Paper Prepared for President Reagan,1986-10-11,undated,Reykjavik,summit,,,,Ronald Reagan; Jack F. Matlock Jr.; Mikhail S. Gorbachev; Georgy Korniyenko; Paul H. Nitze; Sergei F. Akhromeyev; Palazhchenko; Eduard A. Shevardnadze,SDI; INF; Strategic Arms; Nuclear Testing,True,https://history.state.gov/historicaldocuments/frus1981-88v05/d305,,,
frus1981-88v06-d1,1,FRUS 1981-1988 v06,historical-document,Memorandum for the Record,1986-10-11,undated,Washington,summit,,,,Ronald Reagan; Mikhail S. Gorbachev; George P. Shultz; Donald Regan; John M. Poindexter; Thomas; Hartman; Ridgway; Jack F. Matlock Jr.; Paul H. Nitze; Robert Linhard; Richard Perle; Max Kampelman; Shevardnadze; Rowny; Kenneth L. Adelman; John Moellering; Akhromeyev; Alexander Bessmertnykh; Dubinin; Primakov; Parris; Keel,SDI; INF; Strategic Arms; Nuclear Testing; Human Rights; Regional Issues; Bilateral Relations,True,https://history.state.gov/historicaldocuments/frus1981-88v06/d1,,,
frus1981-88v05-d300,300,FRUS 1981-1988 v05,editorial-note,Editorial Note,1986-10-12,,,summit,,,,Ronald Reagan; Mikhail S. Gorbachev; Jack F. Matlock Jr.,Human Rights; Regional Issues; Bilateral Relations,True,https://history.state.gov/historicaldocuments/frus1981-88v05/d300,,,
frus1981-88v05-d304,304,FRUS 1981-1988 v05,editorial-note,Editorial Note,1986-10-12,,,summit,,,,Ronald Reagan; Mikhail S. Gorbachev; Paul H. Nitze; Sergei F. Akhromeyev; Bob Linhard; George P. Shultz; Kampelman; Perle; Hill; Timbie; Rowny; Karpov; Jack F. Matlock Jr.; Arbatov,SDI; INF; Strategic Arms; Nuclear Testing,True,https://history.state.gov/historicaldocuments/frus1981-88v05/d304,,,
frus1981-88v05-d306,306,FRUS 1981-1988 v05,historical-document,Memorandum of Conversation,1986-10-12,"October 12, 1986, 10 a.m.–1:35 p.m.",Reykjavik,summit,Session III - October 12 morning,Reagan-Gorbachev,Hofdi House,Jack F. Matlock Jr.; George P. Shultz; Parris; Eduard A. Shevardnadze; Uspenskiy; Palazhchenko; Mikhail S. Gorbachev; Thatcher; Ronald Reagan,SDI; INF; Strategic Arms; Nuclear Testing; Human Rights; Bilateral Relations,True,https://history.state.gov/historicaldocuments/frus1981-88v05/d306,,,
